Height (m),Width (m),Height-to-Width Ratio,Number of Windows,Columns,Symmetry,Decorative Elements (%),Architectural Style
b'9.31863637222248',b'9.576370258211298',b'0.9730864744115524',b'26',b'1',b'0.5487092396782933',b'79.33852126401294',b'Baroque'
b'25.035531526621508',b'13.10462757213152',b'1.9104344163021016',b'15',b'1',b'0.9415555398419498',b'27.815033543016312',b'Gothic'
b'29.83854626665927',b'17.842001205155547',b'1.6723766534685165',b'40',b'1',b'0.5969448724333183',b'71.8818868641059',b'Baroque'
b'13.6745971369435',b'12.106537162110838',b'1.1295217578598886',b'26',b'0',b'0.9787217304736',b'10.286816725085346',b'Gothic'
b'12.361104217983286',b'14.209856507738868',b'0.8698964842643746',b'28',b'1',b'0.8738118886091826',b'34.6829641285364',b'Gothic'
b'27.396283549517907',b'14.925167357085837',b'1.8355763050463427',b'25',b'1',b'0.9035693512815642',b'12.803421768516433',b'Gothic'
b'22.96626933125786',b'13.974418525244852',b'1.643450801889838',b'11',b'1',b'0.9099440972207937',b'12.961451495209847',b'Neoclassical'
b'39.86448326611884',b'17.13703605095965',b'2.326218089731245',b'31',b'1',b'0.5632087067937976',b'84.90024016867358',b'Baroque'
b'16.22173209016195',b'18.426411120812762',b'0.8803522283207601',b'15',b'1',b'0.9203583553530211',b'12.520364196388298',b'Neoclassical'
b'14.380502787352789',b'12.952978028055732',b'1.1102082282703702',b'22',b'1',b'0.8832216900132988',b'19.235660868713996',b'Neoclassical'
b'20.601700516271837',b'8.56936028370013',b'2.4041118396502186',b'28',b'1',b'0.9084685146783454',b'33.50166174510235',b'Gothic'
b'21.713968312419247',b'15.884947761890121',b'1.3669524532220143',b'18',b'1',b'0.8104682991216501',b'26.13832727552458',b'Neoclassical'
b'17.540633034588275',b'4.010583613786942',b'4.3735861719201905',b'17',b'1',b'0.8325339149963049',b'29.499378300066503',b'Neoclassical'
b'21.539811018180387',b'10.10251192312321',b'2.132124285731238',b'15',b'0',b'0.9129669166095394',b'10.581588500515554',b'Gothic'
b'14.990621490890728',b'13.422791903404939',b'1.1168035382481107',b'12',b'1',b'0.9637307019463307',b'10.89157269904813',b'Neoclassical'
b'23.083272369559886',b'14.959011123062712',b'1.5431014911120549',b'16',b'1',b'0.7368212382348146',b'23.239513035202407',b'Neoclassical'
b'35.30074367160574',b'20.597939585438922',b'1.7137997480369593',b'46',b'1',b'0.6061646207090159',b'65.84018015839972',b'Baroque'
b'30.789143123157515',b'18.50715088265618',b'1.6636349548547367',b'45',b'1',b'0.512191989923794',b'53.992873725406795',b'Baroque'
b'21.587525661589492',b'18.005690237532537',b'1.1989279709250291',b'27',b'1',b'0.9638913540152846',b'39.13512855207706',b'Gothic'
b'18.918234447064894',b'14.678691680996915',b'1.2888229317846158',b'21',b'1',b'0.7644264423688837',b'25.933711974201096',b'Neoclassical'
b'15.923016972403977',b'16.918325446855274',b'0.9411697997193745',b'16',b'1',b'0.8385396653650368',b'26.96406567504166',b'Neoclassical'
b'17.85354787630039',b'11.488250213116338',b'1.5540702496117884',b'22',b'1',b'0.9861559561803974',b'30.942638476385458',b'Gothic'
